id,year,dane_code,ind_1_icbf_children,ind_2_prescholar_children,ind_3_total_children,ind_4_overlaping_services,source_id
646,2015,95001,219,0,219,40.2,117
647,2015,41006,358,0,358,87.4,117
648,2015,41013,280,0,280,94.7,117
649,2015,41016,468,0,468,87.0,117
650,2015,41020,453,0,453,77.0,117
651,2015,41026,91,0,91,84.5,117
652,2015,41078,260,0,260,91.0,117
653,2015,41132,225,0,225,87.4,117
654,2015,41206,430,0,430,83.0,117
655,2015,41244,131,0,131,82.1,117
656,2015,41298,2333,0,2333,84.1,117
657,2015,41306,686,0,686,92.2,117
658,2015,41319,623,0,623,82.5,117
659,2015,41349,223,0,223,75.8,117
660,2015,41357,423,0,423,93.4,117
661,2015,41359,816,0,816,86.4,117
662,2015,41378,403,0,403,91.2,117
663,2015,41396,1624,0,1624,86.3,117
664,2015,41483,132,0,132,95.2,117
665,2015,41503,539,0,539,97.1,117
666,2015,41518,102,0,102,90.3,117
667,2015,41524,572,0,572,94.7,117
668,2015,41530,452,0,452,92.5,117
669,2015,41548,419,0,419,94.9,117
670,2015,41615,792,0,792,86.6,117
